category,name,price_min,price_max,link
iPad,Apple iPad Air 13 inch (M3) Wi-Fi + Cellular,31900,49900,https://www.bnn.in.th/en/p/apple-ipad-air-13-m3-wi-fi-cellular-256gb-space-grey-2025-2nd-gen-195949964800_d20nm6?ref=category&verify=1
iPad,Apple iPad mini 7 (A17 Pro) Wi-Fi 8.3 inch,18600,29600,https://www.bnn.in.th/en/p/apple-ipad-mini-83-inch-wi-fi-128gb-blue-2024-7th-gen-195949729256_zvjqyp?ref=category&verify=1
iPad,Apple iPad mini 7 (A17 Pro) Wi-Fi + Cellular 8.3 inch,24600,35600,https://www.bnn.in.th/en/p/apple-ipad-mini-83-inch-wi-fi-cellular-128gb-space-gray-2024-7th-gen-195949755279_r0kp9k?ref=category&verify=1
iPad,Apple iPad Pro 11 inch (M4) Wi-Fi,29900,53900,https://www.bnn.in.th/en/p/apple-ipad-pro-11-inch-wi-fi-256gb-with-standard-glass-space-black-2024-5th-gen-195949222542_dk0wwq?ref=category&verify=1
iPad,Apple iPad Pro 11 inch (M4) Wi-Fi with Nano-texture glass,49900,57900,https://www.bnn.in.th/en/p/apple-ipad-pro-11-inch-wi-fi-1tb-with-nano-texture-glass-silver-2024-5th-gen-195949467165_dk0w1j?ref=category&verify=1
iPad,Apple iPad Pro 13 inch (M4) Wi-Fi,38900,67200,https://www.bnn.in.th/en/p/apple-ipad-pro-13-inch-wi-fi-256gb-with-standard-glass-space-black-2024-7th-gen-195949238710_z3qggl?ref=category&verify=1
iPad,Apple iPad Pro 13 inch (M4) Wi-Fi with Nano-texture glass,58900,66900,https://www.bnn.in.th/en/p/apple-ipad-pro-13-inch-wi-fi-1tb-with-nano-texture-glass-space-black-2024-7th-gen-195949467851_z3qg49?ref=category&verify=1
MacBook,"Apple MacBook Neo 13"" A18 Pro chip",24900,24900,https://www.bnn.in.th/en/p/apple-macbook-neo-13-a18-pro-chip-6c-cpu5c-gpu8gb256gb-blush-2026-mhfh4tha_dk7kyj?ref=category&verify=1
MacBook,"Apple MacBook Neo 13"" A18 Pro chip with Touch ID",27900,27900,https://www.bnn.in.th/en/p/apple-macbook-neo-13-a18-pro-chip-6c-cpu5c-gpu8gb512gb-with-touch-id-citrus-2026-mhfe4tha_d89yny?ref=category&verify=1
MacBook,"Apple MacBook Neo 13"" A18 Pro chip (Eng-Keyboard)",24900,24900,https://www.bnn.in.th/en/p/apple-macbook-neo-13-a18-pro-chip-6c-cpu5c-gpu8gb256gb-silver-2026-eng-keyboard-z1tn0000k_d5oywj?ref=category&verify=1
MacBook,"Apple MacBook Neo 13"" A18 Pro chip with Touch ID (Eng-Keyboard)",27900,27900,https://www.bnn.in.th/en/p/apple-macbook-neo-13-a18-pro-chip-6c-cpu5c-gpu8gb512gb-with-touch-id-indigo-2026-eng-keyboard-z1tt0000k_zpx68x?ref=category&verify=1
MacBook,"Apple MacBook Air 13"" M5 chip (GPU/16GB)",44900,55400,https://www.bnn.in.th/en/p/apple-macbook-air-13-m5-chip-10c-cpu8c-gpu16gb512gb-midnight-2026-mdhe4tha_r01006?ref=category&verify=1
MacBook,"Apple MacBook Air 15"" M5 chip (GPU/16GB)",54900,65400,https://www.bnn.in.th/en/p/apple-macbook-air-15-m5-chip-10c-cpu10c-gpu16gb1tb-silver-2026-mdva4tha_zgeq6v?ref=category&verify=1
MacBook,"Apple MacBook Air 13"" M5 chip (GPU/24GB)",62400,62400,https://www.bnn.in.th/en/p/apple-macbook-air-13-m5-chip-10c-cpu10c-gpu24gb1tb-sky-blue-2026-mdhk4tha_zo7947?ref=category&verify=1
MacBook,"Apple MacBook Air 15"" M5 chip (GPU/24GB)",72400,72400,https://www.bnn.in.th/en/p/apple-macbook-air-15-m5-chip-10c-cpu10c-gpu24gb1tb-starlight-2026-mdvf4tha_d89y4y?ref=category&verify=1
MacBook,"Apple MacBook Air 13"" M5 chip GPU/16GB (Eng-Keyboard)",44900,55400,https://www.bnn.in.th/en/p/apple-macbook-air-13-m5-chip-10c-cpu10c-gpu16gb1tb-silver-2026-eng-keyboard-z1l10001y_zgeqmq?ref=category&verify=1
MacBook,"Apple MacBook Air 15"" M5 chip GPU/16GB (Eng-Keyboard)",54900,65400,https://www.bnn.in.th/en/p/apple-macbook-air-15-m5-chip-10c-cpu10c-gpu16gb1tb-midnight-2026-eng-keyboard-z1lx0001y_zpx62x?ref=category&verify=1
MacBook,"Apple MacBook Air 13"" M5 chip GPU/24GB (Eng-Keyboard)",62400,62400,https://www.bnn.in.th/en/p/apple-macbook-air-13-m5-chip-10c-cpu10c-gpu24gb1tb-starlight-2026-eng-keyboard-z1l50001l_d89yv3?ref=category&verify=1
MacBook,"Apple MacBook Air 15"" M5 chip GPU/24GB (Eng-Keyboard)",72400,72400,https://www.bnn.in.th/en/p/apple-macbook-air-15-m5-chip-10c-cpu10c-gpu24gb1tb-sky-blue-2026-eng-keyboard-z1m20001l_zo792k?ref=category&verify=1
MacBook,"Apple MacBook Pro 14"" M5 chip",59500,83900,https://www.bnn.in.th/en/p/apple-macbook-pro-14-m5-chip-10c-cpu10c-gpu16gb512gb-space-black-2025-mde04tha_dm55px?ref=category&verify=1
MacBook,"Apple MacBook Pro 14"" M5 Pro chip",87900,105400,https://www.bnn.in.th/en/p/apple-macbook-pro-14-m5-pro-chip-15c-cpu16c-gpu24gb1tb-space-black-2026-mgdr4tha_zwg4km?ref=category&verify=1
